"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"LALINET","","\WIGOS\GAW\GAW Contributing networks\GALION\LALINET","",""
"lightningDetection","","\WIGOS\GOS\GOS Other elements\Lightning detection system","",""
"LOCEAN","","\Co-sponsored\GOOS\DBCP\LOCEAN","",""
"marlinDB","","\Co-sponsored\GOOS\DBCP\MARLIN-DB","",""
"MEDARGO","","\Co-sponsored\GOOS\Argo\MEDARGO","",""
"meridianGoodHope","","\Co-sponsored\GOOS\Argo\MERIDIAN GOODHOPE","",""
"MERSEA","","\Co-sponsored\GOOS\Argo\MERSEA","",""
"MeteoFranceDB","","\Co-sponsored\GOOS\DBCP\METEO FRANCE DB","",""
"MeteoFranceMB","","\Co-sponsored\GOOS\DBCP\METEO FRANCE MB","",""
"MeteoFranceWB","","\Co-sponsored\GOOS\DBCP\METEO FRANCE WB","",""
"MOZAIC","","\WIGOS\GAW\GAW Other elements\ABOS\MOZAIC","",""
"MPLNET","","\WIGOS\GAW\GAW Contributing networks\GALION\MPLNET","",""
"NADP","","\WIGOS\GAW\GAW Contributing networks\NADP","",""
"NAOSfrance","","\Co-sponsored\GOOS\Argo\NAOS-FRANCE","",""
"NCCOOS","","\Co-sponsored\GOOS\DBCP\NCCOOS","",""
"NDACC","","\WIGOS\GAW\GAW Other elements\NDACC","",""
"NDBCBP","","\Co-sponsored\GOOS\DBCP\NDBC-BP","",""
"NDBCCOE","","\Co-sponsored\GOOS\DBCP\NDBC-COE","",""
"NDBCCSI","","\Co-sponsored\GOOS\DBCP\NDBC-CSI","",""
"NDBCMB","","\Co-sponsored\GOOS\DBCP\NDBC-MB","",""
"NDBCMBARI","","\Co-sponsored\GOOS\DBCP\NDBC-MBARI","",""
"NDBCNASA","","\Co-sponsored\GOOS\DBCP\NDBC-NASA","",""
"NDBCNOAANWS","","\Co-sponsored\GOOS\DBCP\NDBC-NOAA-NWS","",""
"NDBCTABS","","\Co-sponsored\GOOS\DBCP\NDBC-TABS","",""
"NDBCTSU","","\Co-sponsored\GOOS\DBCP\NDBC-TSU","",""
"NDBCUSCG","","\Co-sponsored\GOOS\DBCP\NDBC-USCG","",""
"NDWCTSU","","\Co-sponsored\GOOS\DBCP\NDWC-TSU","",""
"NewZealandDB","","\Co-sponsored\GOOS\DBCP\NEW ZEALAND DB","",""
